Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,Renminbi Yuan
3061630,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon) , shelled",78702,Kilogram,0,?,11131722.0
3061640,"Frozen northern pandalus (Pandalus borealis), unshelled",45628,Kilogram,0,?,2004219.0
3061690,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon) , unshelled",34805,Kilogram,0,?,1504520.0
3061730,"Other frozen shrimps and prawns, shelled",852203,Kilogram,0,?,63725577.0
3061790,"Other frozen shrimps and prawns, unshelled",534394,Kilogram,0,?,17495213.0
3061990,"Frozen crustaceans,nes",738,Kilogram,0,?,43076.0
3063190,"Live/fresh/chilled rock lobster and other sea crawfish, not for cultivation",593,Kilogram,0,?,27432.0
3063391,"Live/fresh/chilled freshwater crabs, not for cultivation",435349,Kilogram,0,?,20353629.0
3063392,"Live/fresh/chilled swimming crabs, not for cultivation",781,Kilogram,0,?,62826.0
3063399,"Other live/fresh/chilled crabs, not for cultivation",43428,Kilogram,0,?,5965527.0
3063610,Other shrimps/prawns for cultivation,4,Kilogram,0,?,17000.0
3063690,"Other live prawns and live/fresh/cold shrimps, not for cultivation",713580,Kilogram,0,?,48405614.0
3063990,"Live/fresh/chilled crustaceans ,nes",1574,Kilogram,0,?,95652.0
3069590,"Other shrimps and prawns,prepared other than fresh/chilled",75700,Kilogram,0,?,5504720.0
3069900,Crustaceans nes,1120,Kilogram,0,?,187412.0
3071110,Oysters for cultivation,11700,Kilogram,0,?,569315.0
3071190,"Live/fresh/chilled oysters, not for cultivation",270646,Kilogram,0,?,12277228.0
3071200,Frozen oysters,98558,Kilogram,0,?,3084894.0
3072191,"Other scallops,live/fresh/chilled",7460,Kilogram,0,?,214684.0
3072210,Frozen scallops,341448,Kilogram,0,?,13737765.0
3072290,Frozen other molluscs of the family Pectinidae,227701,Kilogram,0,?,8522623.0
3072910,"Scallops, dried/salted/in brine/smoked",897,Kilogram,0,?,154296.0
3073200,Frzen mussels,538240,Kilogram,0,?,7407104.0
3074291,"Live/fresh/chilled cuttle fish(Sepia of ficinalis,Rossia macrosoma,Sepiola spp.)and squid(Ommastrephes spp.,Loligo spp., Nototodarus spp.,Sepioteuthis spp.)",147109,Kilogram,0,?,13258013.0
3074299,Other live/fresh/chilled cuttle fish and squid,21593,Kilogram,0,?,674700.0
3074310,"Frozen cuttle fish(Sepia of ficinalis,Rossia macrosoma,Sepiola spp.)and squid(Ommastrephes spp.,Loligo spp., Nototodarus spp.,Sepioteuthis spp.)",3281503,Kilogram,0,?,135341172.0
3074390,Other frozen cuttle fish and squid,10554543,Kilogram,0,?,294961600.0
3074910,"Dried/salted/smoked cuttle fish(Sepia of ficinalis,Rossia macrosoma,Sepiola spp.)and squid(Ommastrephes spp.,Loligo spp., Nototodarus spp.,Sepioteuthis spp.)",36400,Kilogram,0,?,3637518.0
3074990,Other dried/salted/smoked cuttle fish and squid,87050,Kilogram,0,?,7192814.0
3075100,Live/fresh/chilled octopus,519123,Kilogram,0,?,49531565.0
3075200,Frozen octopus,1164965,Kilogram,0,?,55335194.0
3075900,Dried/salted/smoked octopus,125800,Kilogram,0,?,4175742.0
3076090,"Snails (not sea snails), not for cultivation",75,Kilogram,0,?,3773.0
3077110,"Clams, cockles and ark shells, for cultivation",1600,Kilogram,0,?,46005.0
3077191,"Live/fresh/chilled clams, not for cultivation",4246070,Kilogram,0,?,47459791.0
3077199,"Live/fresh/chilled cockles and ark shells, not for cultivation",579977,Kilogram,0,?,10909125.0
3077200,"Frozen clams, cockles and ark shells",560074,Kilogram,0,?,16981111.0
3077900,"Dried/salted/smoked clams, cockles and ark shells",46656,Kilogram,0,?,1404991.0
3078190,"Live/fresh/chilled abalone, not for cultivation",179663,Kilogram,0,?,15325008.0
3078300,Frozen abalone,59063,Kilogram,0,?,6104003.0
3079190,"Molluscs nes, live/fresh/chilled, not for cultivation",163319,Kilogram,0,?,6911823.0
3079200,Frozen molluscs nes,180301,Kilogram,0,?,18260470.0
3079900,"Molluscs nes, dried/salted/in brine/smoked",19723,Kilogram,0,?,2440136.0
3081190,"Live/fresh/chilled sea cucumbers, not for cultivation",25,Kilogram,0,?,10423.0
3081200,Frozen sea cucumbers,6319,Kilogram,0,?,943032.0
3082190,"Live/fresh/chilled sea urchins, not for cultivation",2367,Kilogram,0,?,2941255.0
3082200,Frozen sea urchins,5330,Kilogram,0,?,2022086.0
3083090,Frozen/dried/salted/smoked jellyfish,311129,Kilogram,0,?,11435418.0
3089012,"Live/fresh/chilled sea clamworm, not for cultivation",41651,Kilogram,0,?,4276977.0
3089019,"Live/fresh/chilled aquatic invertebrates(excl.crustaceans/molluscs)nes, not for cultivation",13725,Kilogram,0,?,1530843.0
3089090,Other frozen/dried/salted/smoked aquatic invertebrates(excl.crustaceans/molluscs),86,Kilogram,0,?,5424.0
3091000,"Flours, meals and pellets of fish, fit for human consumption",141997,Kilogram,0,?,3992138.0
3099000,"Flours, meals and pellets of crustaceans, molluscs and other aquatic invertebrates, fit for human consumption",13200,Kilogram,0,?,736585.0
4011000,"Milk&cream,fat≤1%, not concentrated or sweetened",80706,Kilogram,0,?,369550.0
4012000,"Milk&cream,1%＜fat≤6%, not concentrated or sweetened",2216447,Kilogram,0,?,13720381.0
4014000,"Milk&cream,6%＜fat≤10%, not concentrated or sweetened",2400,Kilogram,0,?,10975.0
4015000,"Milk&cream,fat＞10%, not concentrated or sweetened",360,Kilogram,0,?,9189.0
4021000,"Milk&cream in solid forms,fat≤1.5%, concentrated/sweetened",203008,Kilogram,0,?,3580131.0
4022100,"Milk&cream in solid forms of＞1.5% fat, concentrated, unsweetened",2630469,Kilogram,0,?,48126103.0
4022900,"Milk&cream in solid forms of＞1.5% fat, concentrated, sweetened",959,Kilogram,0,?,18846.0
4029100,"Milk&cream not in solid form, concentrated, unsweetened",1579,Kilogram,0,?,17435.0
4029900,"Milk&cream not in solid form, concentrated, sweetened",49125,Kilogram,0,?,813217.0
4032010,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",63644,Kilogram,0,?,1199223.0
4032090,Other yogurt,276875,Kilogram,0,?,4246348.0
4039000,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream",289056,Kilogram,0,?,4408682.0
4041000,Whey and modified whey,2009,Kilogram,0,?,1139354.0
4049000,"Products consisting of natural milk constituents, nes",5880,Kilogram,0,?,94886.0
4051000,Butter,654260,Kilogram,0,?,11984657.0
4059000,Other fats&oils derived from milk,175180,Kilogram,0,?,3891504.0
4062000,Grated or powdered cheese,89275,Kilogram,0,?,1005701.0
4063000,"Processed cheese, not grated or powdered",8395,Kilogram,0,?,352883.0
4069000,"Cheese, nes",5071,Kilogram,0,?,670716.0
4071100,Fertilised eggs for incubation of hens,8011,Kilogram,130245,Number of item,489702.0
4071900,Fertilised eggs for incubation of other fowls,27000,Kilogram,300000,Number of item,360000.0
4072100,Fresh eggs of hens,10714731,Kilogram,177013878,Number of item,102938925.0
4072900,Fresh eggs of other fowls,38011,Kilogram,1080732,Number of item,555537.0
4079010,Salted eggs,524104,Kilogram,7748461,Number of item,10545725.0
4079020,Lime-preserved eggs,582757,Kilogram,8569588,Number of item,12146876.0
4079090,"Prevered/cooked eggds in shell, nes",101915,Kilogram,1955532,Number of item,2638893.0
4081100,Dried egg yolks,53970,Kilogram,0,?,3722958.0
4081900,Egg yolks (excl. dried),103630,Kilogram,0,?,6353241.0
4089100,"Dried bird's eggs, not in shell",18276,Kilogram,0,?,1000244.0
4089900,"Bird's eggs, not in shell (excl. dried)",765176,Kilogram,0,?,13082527.0
4090000,Natural honey,11082797,Kilogram,0,?,121136637.0
4109010,Edible bird's nests (salanganes' nests),225,Kilogram,0,?,79405.0
4109021,"Pure royal jelly, fresh",21615,Kilogram,0,?,3232600.0
4109022,"Pure royal jelly, in powder, fresh",10274,Kilogram,0,?,5575562.0
4109023,Bee pollen,236676,Kilogram,0,?,7334977.0
4109029,Other bee products,15992,Kilogram,0,?,2766910.0
4109090,"Other edible products of animal origin, nes",19,Kilogram,0,?,263.0
5021010,"Pig's, hog's, or boar's bristles",135768,Kilogram,0,?,8590373.0
5021020,"Pig's, hog's, or boar's hair",19760,Kilogram,0,?,88065.0
5029011,Goats hair for brush making,500,Kilogram,0,?,34684.0
5029019,"Badger and other brush making hair, nes",130,Kilogram,0,?,397226.0
5040011,"Hog casings, salted, excl. hog fat-ends",3940403,Kilogram,0,?,200058287.0
5040012,"Sheep casings, salted",915644,Kilogram,0,?,119771489.0
5040013,"Goat casings, salted",6080,Kilogram,0,?,1250123.0
5040019,"Casings of animal guts, nes",15694,Kilogram,0,?,4216690.0
5040090,"Other guts, bladders&stomachs of animals, whole/pieces, nes",73136,Kilogram,0,?,1212131.0
5051000,Raw feathers for stuffing; down,1973847,Kilogram,0,?,348643650.0
5059090,Feathers nes; skins&parts of birds with feathers or down,11610,Kilogram,0,?,2898525.0
5069090,"Bones and horn-cores not cut to shape, nes",300,Kilogram,0,?,3200.0
5079020,Pilose antlers and powder thereof,6975,Kilogram,0,?,7988644.0
5079090,"Tortois-shell,whalebon,antlers, hooves, nails, claws&beaks;pwd/wst",3090,Kilogram,0,?,783845.0
5080010,"Pwd&wst of shells of molluscs,crustaceans, echinoderms/cuttle-bone",148430,Kilogram,0,?,494044.0
5080090,"Coral; shells of molluscs, crustaceans, echinoderms/cuttle-bone",621502,Kilogram,0,?,2460081.0
5100090,Bile; other animal products for pharmacy,5335,Kilogram,0,?,2419269.0
5119119,Other fish products,44769,Kilogram,0,?,1815984.0
5119190,Prdct of fish/crustaceans/aquatic invertebrates; dead animals of chptr 3,296263,Kilogram,0,?,19675438.0
5119910,"Animal semen, not bovine semen",0,Kilogram,0,?,96596.0
5119920,Animal embryo,0,Kilogram,0,?,4715.0
